iso3,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,
GRC,21,6,5,https://www.cbd.int/doc/world/gr/gr-nr-05-en.pdf,
GRD,na,na,5,https://www.cbd.int/doc/world/gd/gd-nr-05-en.pdf,
GRL,na,na,,na,
GTM,31.06,na,5,https://www.cbd.int/doc/world/gt/gt-nr-05-es.pdf,
GUF,na,na,,na,
GUM,na,na,,na,
GUY,8.6,na,,https://www.cbd.int/doc/world/gy/gy-nbsap-v3-en.pdf,
HKG,na,na,,na,
HMD,na,na,,na,
HND,27,,,https://www.cbd.int/doc/world/hn/hn-nbsap-v2-es.pdf,
HRV,12.2,1.94,5,https://www.cbd.int/doc/world/hr/hr-nr-05-en.pdf,
HTI,6.28,na,5,https://www.cbd.int/doc/world/ht/ht-nr-05-fr.pdf,
HUN,22.2,0,5,https://www.cbd.int/doc/world/hu/hu-nr-05-en.pdf,
IDN,22,na,5,https://www.cbd.int/doc/world/id/id-nr-05-en.pdf,
IMN,na,na,,na,
IND,na,na,6,https://chm.cbd.int/database/record/93FF87C5-5D5D-B150-2A0F-5D3AF67E77C9,
IOT,na,na,,na,
IRL,14,1.4,5,https://www.cbd.int/doc/world/ie/ie-nr-05-en.pdf,
IRN,10.4,na,5,https://www.cbd.int/doc/world/ir/ir-nr-05-en.pdf,
IRQ,na,na,,na,
ISL,na,na,,https://chm.cbd.int/database/record/BF781FE9-A0CB-A201-0EAA-F59EC1EC1EFA,
ISR,21,na,5,https://www.cbd.int/doc/world/il/il-nr-05-en.pdf,
ITA,21,19.1,6,https://chm.cbd.int/database/record/075ADA4C-96AD-4864-9C6C-D252F644A314,
JAM,18,15,5,https://www.cbd.int/doc/world/jm/jm-nr-05-en.pdf,
JEY,na,na,,na,
JOR,1.6,25,6,https://chm.cbd.int/database/record/E3AD5C2C-E18B-0515-2B13-B5906FB9C971,"The current natural protected areas coverage is 1.6%, yet Jordan did not reach the global target identified of 17%. The Aqaba Marine Park covers 25% of the total coastline area, thus Jordan fulfilled its commitment, despite the fact the marine park was not included within the Jordan's network on protected areas."
JPN,na,8.3,6,https://chm.cbd.int/database/record/134290A2-76E8-AF7A-E322-14E20399677D,
KAZ,8.96,na,6,https://chm.cbd.int/database/record/104097C9-32D6-85B6-4630-6D69CC6DC2EF,"In 2017, the total area occupied by protected areas of national importance accounted for 24.4 million hectares (8.96% of total country’s area) "
KEN,8,na,5,https://www.cbd.int/doc/world/ke/ke-nr-05-en.pdf,
KGZ,7.38,na,6,https://chm.cbd.int/database/record/411B9A5E-1A4D-858E-3E40-643E17C4E9CC,
KHM,18,na,5,https://www.cbd.int/doc/world/kh/kh-nr-05-en.pdf,
KIR,na,na,,na,No information in 5th national report
KNA,na,na,6,https://chm.cbd.int/database/record/C0A7116F-F642-2089-08C4-81605C16F1BC,
KOR,11.57,1.4,6,https://chm.cbd.int/database/record/37C38AFC-AF9F-168E-B555-2EBA21CF2DCD,
KWT,20,3,5,https://www.cbd.int/doc/world/kw/kw-nr-05-ar.pdf,
LAO,18,na,,na,"Different figures provided in NR, also 'National Protected Areas (NPAs) now cover 14.2 per cent of the country’s area, while this coverage of protected areas increases to around 20.2 per cent of the land area with the addition of Provincial Protected Areas and District Protected Areas.'"
LBN,na,na,,na,No information in 5th national report
LBR,na,na,5,https://www.cbd.int/doc/world/lr/lr-nr-05-en.pdf,
LBY,na,na,,na,No 5th or 6th NR
LCA,na,na,,na,No information in 5th national report
LIE,12.3,0,5,https://www.cbd.int/doc/world/li/li-nr-05-en.pdf,
LKA,28,na,5,https://www.cbd.int/doc/world/lk/lk-nr-05-en.pdf,
LSO,na,na,,na,No 5th or 6th NR
LTU,na,na,,na,No 5th or 6th NR
LUX,27,na,6,https://chm.cbd.int/database/record/7C393CC4-D665-CE1D-B971-CD4271602FB8,"First of all, the network of protected areas in Luxembourg of national or Community interest comprises approximately 27% of the national territory."
LVA,17,na,5,https://www.cbd.int/doc/world/lv/lv-nr-05-en.pdf,
MAF,na,na,,na,
MAR,16.2,na,6,https://chm.cbd.int/database/record/650BA56F-8B7E-91A7-6622-56AEEEDD28CE,
MCO,na,na,5,https://www.cbd.int/doc/world/mc/mc-nr-05-fr.pdf,
MDA,5.8,0,6,https://chm.cbd.int/database/record/7320428F-D31E-FD33-F7FE-48CC53E2EB23,
MDG,na,na,5,https://www.cbd.int/doc/world/mg/mg-nr-05-en.pdf,
MDV,na,na,5,https://www.cbd.int/doc/world/mv/mv-nr-05-en.pdf,
MEX,12.9,21,6,https://www.cbd.int/doc/world/mx/mx-nr-05-es.pdf,
MHL,16,18,5,na,
MKD,na,0,,na,
MLI,na,na,,na,
MLT,13,na,5,https://www.cbd.int/doc/world/mt/mt-nr-05-en.pdf,
MMR,8.7,na,6,https://chm.cbd.int/database/record/F7636AF4-F0E7-CAAE-ED0A-CE0E9F3A7F9C,
MNE,9.05,na,5,https://www.cbd.int/doc/world/me/me-nr-05-en.pdf,
MNG,17.4,0,5,https://www.cbd.int/doc/world/mn/mn-nr-05-en.pdf,
MNP,na,na,na,na,
MOZ,26,na,5,https://www.cbd.int/doc/world/mz/mz-nr-05-en.pdf,
MRT,na,na,5,https://www.cbd.int/doc/world/mr/mr-nr-05-fr.pdf,
MSR,na,na,na,na,
MTQ,na,na,na,na,
MUS,7.6,na,5,https://www.cbd.int/doc/world/mu/mu-nr-05-en.pdf,
MWI,na,na,5,https://www.cbd.int/doc/world/mw/mw-nr-05-en.pdf,
MYS,na,1.4,5,https://www.cbd.int/doc/world/my/my-nr-05-en.pdf,
MYT,na,na,,na,
NAM,16.7,na,5,https://www.cbd.int/doc/world/na/na-nr-05-en.pdf,
NCL,na,na,na,na,
NER,15.21,0,6,https://chm.cbd.int/database/record/AB3C2537-889F-115F-3B85-E42EA3C3B1EC,
NFK,na,na,na,na,
NGA,6,na,5,https://www.cbd.int/doc/world/ng/ng-nr-05-en.pdf,
NIC,na,na,,na,
NIU,23,na,5,https://www.cbd.int/doc/world/nu/nu-nr-05-en.pdf,
NLD,21.7,19,5,https://www.cbd.int/doc/world/nl/nl-nr-05-en.pdf,
NOR,17.2,3.1,6,https://chm.cbd.int/database/record/D874F120-974C-0CFE-32C4-6BCBE13146B5,
NPL,23.39,0,6,https://chm.cbd.int/database/record/A6B3AF62-55F8-F0D0-7106-76D42630A951,
NZL,36.73,7,5,https://www.cbd.int/doc/world/nz/nz-nr-05-en.pdf,
OMN,na,na,5,https://www.cbd.int/doc/world/om/om-nr-05-en.pdf,
PAK,12,0,5,https://www.cbd.int/doc/world/pk/pk-nr-05-en.pdf,
PAN,31.8,13.5,6,https://chm.cbd.int/database/record/05B386D2-5BCD-A52D-6097-F853803CC619,
PCN,na,na,,na,
PER,17.3,0.3,6,https://chm.cbd.int/database/record/90F134F5-E726-C4E5-77FD-F2E103B0F872,
PHL,12.8,na,PBSAP 2015-2028,https://www.cbd.int/doc/world/ph/ph-nbsap-v3-en.pdf,
PLW,na,na,,https://www.cbd.int/doc/world/pw/pw-nr-05-en.pdf,
PNG,na,na,,na,
POL,19.6,24,6,https://chm.cbd.int/database/record/4ACD5165-ABFA-57D0-CAB0-4FC82FB386DD,
PRI,na,na,,na,
PRK,7.2,na,5,https://www.cbd.int/doc/world/kp/kp-nr-05-en.pdf,
PRT,22,na,5,https://www.cbd.int/doc/world/pt/pt-nr-05-pt.pdf,
PRY,15,0,6,https://chm.cbd.int/database/record/4406F62E-6E7A-1826-E2B9-082208FCC685,
PSE,9,0,5,https://www.cbd.int/doc/world/ps/ps-nr-05-en.pdf,
PYF,na,na,,na,
QAT,na,na,,https://www.cbd.int/doc/world/qa/qa-nr-05-ar.pdf,
REU,na,na,,na,
ROU,33,na,5,https://www.cbd.int/doc/world/ro/ro-nr-05-en.pdf,
RUS,11.8,na,5,https://www.cbd.int/doc/world/ru/ru-nr-05-ru.pdf,
RWA,10.3,0,5,https://www.cbd.int/doc/world/rw/rw-nr-05-en.pdf,
SAU,na,na,,https://www.cbd.int/doc/world/sa/sa-nr-05-ar.pdf,
